スライド番号,発話テキスト,ボディーランゲージ
1,これから 知能ロボット学特論の 発表を 私 しーどのいどが行います。,home
2,どうぞ よろしく お願いいたします,ojigi
3,忙しいなど 時間が無い時に 発表を 代行して 欲しいことがあります,leftup
4,しかし 専門性のある発表を 任せるには不安です,komaru
5,その問題は 自動プレゼンロボットシステムを 使用することで 解決できます,rightdown
6,従来にも パワーポイントの発表を行うロボットは あります,rightup
7,しかし スライドに合わせた 望ましいモーションは 行えませんでした,banzai
8,さらに 聴講者を認識して 説明を行っていません,point
9,それらの問題を解決する 自動プレゼンロボットシステムを 開発しました,home
10,このシステムは 独自開発したモーションを ロボットに適応させることができます,rightup
11,さらに 聴講者を向いて 発表することで 語り掛ける発表ができます,banzai
12,このシステムは 研究室紹介などに有用です,gattu
13,以上で発表を終わります,home
14,ご清聴ありがとうございました,ojigi
